,city,population,area(km2),vegan_venue_count,vegetarian_venue_count
0,istanbul,15029231,5461.0,42,9
1,izmir,4320519,7340.0,15,3
2,ankara,4470800,2516.0,13,2
3,berlin,3748000,891.8,50,6
4,hamburg,5107429,196.0,11,0
5,münih,1456000,310.4,6,0
6,london,8900000,1572.0,50,31
7,birmingham,1086000,600.0,0,1
8,washington,7536000,177.0,18,17
9,new york,8623000,783.8,50,50
10,madrid,6550000,10506.0,30,13
11,barcelona,5515000,101.4,26,8
12,paris,2141000,105.4,26,4
13,marseille,1715096,240.62,0,0
14,brussels,1192000,32.61,5,2
15,helsinki,147000,213.8,4,3
16,oslo,673469,454.0,3,0
17,reykjavík,122853,274.5,1,0
18,copenhagen,1213822,88.25,6,1
19,amsterdam,821000,219.3,22,10
20,stockholm,965232,188.0,7,1
21,bern,1031000,51.62,2,0
22,zurich,1830000,87.88,9,1
23,luxembourg city,119214,2586.0,1,0
24,toronto,5928000,630.2,24,30
25,viana,1889000,2255.0,4,2
26,rio de janeiro,6320000,1255.0,26,14
27,athens,3154152,412.0,13,2
28,zagreb,803900,641.0,2,1
29,nicosia,185000,111.0,0,0
